sample	Cell_line	Condition 
HCC827_OSI_1	HCC827	OSI 
HCC827_OSI_2	HCC827	OSI 
HCC827_CONTROL_2	HCC827	CONTROL 
HCC827_CONTROL_1	HCC827	CONTROL 
HCC827_ERLO_1	HCC827	ERLO 
HCC827_ERLO_2	HCC827	ERLO 
HCC4006_CONTROL_1	HCC4006 CONTROL
HCC4006_CONTROL_2	HCC4006 CONTROL
HCC4006_ERLO_1	HCC4006 ERLO
HCC4006_ERLO_2	HCC4006 ERLO
HCC4006_OSI_1	HCC4006 OSI
HCC4006_OSI_2	HCC4006 OSI
H1975_OSI_1	H1975	OSI
H1975_OSI_2	H1975	OSI	
H1975_CONTROL_1	H1975 CONTROL
H1975_CONTROL_2	H1975 CONTROL
HCC827_DMSO_1	HCC827  DMSO
HCC827_DMSO_2	HCC827  DMSO
HCC4006_DMSO_1	HCC4006	DMSO
HCC4006_DMSO_2	HCC4006	DMSO
