ensembl_gene_id,external_gene_name,entrezgene_id,gene_biotype,description
ENSG00000005189,REXO5,81691,protein_coding,RNA exonuclease 5 [Source:HGNC Symbol;Acc:HGNC:24661]
ENSG00000006047,YBX2,51087,protein_coding,Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]
ENSG00000006468,ETV1,2115,protein_coding,ETS variant transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3490]
ENSG00000006625,GGCT,79017,protein_coding,gamma-glutamylcyclotransferase [Source:HGNC Symbol;Acc:HGNC:21705]
ENSG00000007968,E2F2,1870,protein_coding,E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]
ENSG00000010292,NCAPD2,9918,protein_coding,non-SMC condensin I complex subunit D2 [Source:HGNC Symbol;Acc:HGNC:24305]
ENSG00000011426,ANLN,54443,protein_coding,anillin, actin binding protein [Source:HGNC Symbol;Acc:HGNC:14082]
ENSG00000012048,BRCA1,672,protein_coding,BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]
ENSG00000013810,TACC3,10460,protein_coding,transforming acidic coiled-coil containing protein 3 [Source:HGNC Symbol;Acc:HGNC:11524]
ENSG00000024526,DEPDC1,55635,protein_coding,DEP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22949]
ENSG00000040275,SPDL1,54908,protein_coding,spindle apparatus coiled-coil protein 1 [Source:HGNC Symbol;Acc:HGNC:26010]
ENSG00000043039,BARX2,8538,protein_coding,BARX homeobox 2 [Source:HGNC Symbol;Acc:HGNC:956]
ENSG00000051180,RAD51,5888,protein_coding,RAD51 recombinase [Source:HGNC Symbol;Acc:HGNC:9817]
ENSG00000051341,POLQ,10721,protein_coding,DNA polymerase theta [Source:HGNC Symbol;Acc:HGNC:9186]
ENSG00000061656,SPAG4,6676,protein_coding,sperm associated antigen 4 [Source:HGNC Symbol;Acc:HGNC:11214]
ENSG00000065328,MCM10,55388,protein_coding,minichromosome maintenance 10 replication initiation factor [Source:HGNC Symbol;Acc:HGNC:18043]
ENSG00000066279,ASPM,259266,protein_coding,assembly factor for spindle microtubules [Source:HGNC Symbol;Acc:HGNC:19048]
ENSG00000067992,PDK3,5165,protein_coding,pyruvate dehydrogenase kinase 3 [Source:HGNC Symbol;Acc:HGNC:8811]
ENSG00000068489,PRR11,55771,protein_coding,proline rich 11 [Source:HGNC Symbol;Acc:HGNC:25619]
ENSG00000071539,TRIP13,9319,protein_coding,thyroid hormone receptor interactor 13 [Source:HGNC Symbol;Acc:HGNC:12307]
ENSG00000072571,HMMR,3161,protein_coding,hyaluronan mediated motility receptor [Source:HGNC Symbol;Acc:HGNC:5012]
ENSG00000075188,NUP37,79023,protein_coding,nucleoporin 37 [Source:HGNC Symbol;Acc:HGNC:29929]
ENSG00000075218,GTSE1,51512,protein_coding,G2 and S-phase expressed 1 [Source:HGNC Symbol;Acc:HGNC:13698]
ENSG00000075702,WDR62,284403,protein_coding,WD repeat domain 62 [Source:HGNC Symbol;Acc:HGNC:24502]
ENSG00000076003,MCM6,4175,protein_coding,minichromosome maintenance complex component 6 [Source:HGNC Symbol;Acc:HGNC:6949]
ENSG00000076382,SPAG5,10615,protein_coding,sperm associated antigen 5 [Source:HGNC Symbol;Acc:HGNC:13452]
ENSG00000077152,UBE2T,29089,protein_coding,ubiquitin conjugating enzyme E2 T [Source:HGNC Symbol;Acc:HGNC:25009]
ENSG00000077312,SNRPA,6626,protein_coding,small nuclear ribonucleoprotein polypeptide A [Source:HGNC Symbol;Acc:HGNC:11151]
ENSG00000080986,NDC80,10403,protein_coding,NDC80 kinetochore complex component [Source:HGNC Symbol;Acc:HGNC:16909]
ENSG00000083454,P2RX5,5026,protein_coding,purinergic receptor P2X 5 [Source:HGNC Symbol;Acc:HGNC:8536]
ENSG00000085840,ORC1,4998,protein_coding,origin recognition complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:8487]
ENSG00000085999,RAD54L,8438,protein_coding,RAD54 like [Source:HGNC Symbol;Acc:HGNC:9826]
ENSG00000086730,LAT2,7462,protein_coding,linker for activation of T cells family member 2 [Source:HGNC Symbol;Acc:HGNC:12749]
ENSG00000087586,AURKA,6790,protein_coding,aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]
ENSG00000088325,TPX2,22974,protein_coding,TPX2 microtubule nucleation factor [Source:HGNC Symbol;Acc:HGNC:1249]
ENSG00000089685,BIRC5,332,protein_coding,baculoviral IAP repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:593]
ENSG00000090889,KIF4A,24137,protein_coding,kinesin family member 4A [Source:HGNC Symbol;Acc:HGNC:13339]
ENSG00000091651,ORC6,23594,protein_coding,origin recognition complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:17151]
ENSG00000092470,WDR76,79968,protein_coding,WD repeat domain 76 [Source:HGNC Symbol;Acc:HGNC:25773]
ENSG00000092853,CLSPN,63967,protein_coding,claspin [Source:HGNC Symbol;Acc:HGNC:19715]
ENSG00000093009,CDC45,8318,protein_coding,cell division cycle 45 [Source:HGNC Symbol;Acc:HGNC:1739]
ENSG00000094804,CDC6,990,protein_coding,cell division cycle 6 [Source:HGNC Symbol;Acc:HGNC:1744]
ENSG00000097046,CDC7,8317,protein_coding,cell division cycle 7 [Source:HGNC Symbol;Acc:HGNC:1745]
ENSG00000099958,DERL3,91319,protein_coding,derlin 3 [Source:HGNC Symbol;Acc:HGNC:14236]
ENSG00000100092,SH3BP1,23616,protein_coding,SH3 domain binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10824]
ENSG00000100162,CENPM,79019,protein_coding,centromere protein M [Source:HGNC Symbol;Acc:HGNC:18352]
ENSG00000100206,DMC1,11144,protein_coding,DNA meiotic recombinase 1 [Source:HGNC Symbol;Acc:HGNC:2927]
ENSG00000100297,MCM5,4174,protein_coding,minichromosome maintenance complex component 5 [Source:HGNC Symbol;Acc:HGNC:6948]
ENSG00000100479,POLE2,5427,protein_coding,DNA polymerase epsilon 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9178]
ENSG00000100526,CDKN3,1033,protein_coding,cyclin dependent kinase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:1791]
ENSG00000100629,CEP128,145508,protein_coding,centrosomal protein 128 [Source:HGNC Symbol;Acc:HGNC:20359]
ENSG00000101003,GINS1,9837,protein_coding,GINS complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28980]
ENSG00000101057,MYBL2,4605,protein_coding,MYB proto-oncogene like 2 [Source:HGNC Symbol;Acc:HGNC:7548]
ENSG00000101187,SLCO4A1,28231,protein_coding,solute carrier organic anion transporter family member 4A1 [Source:HGNC Symbol;Acc:HGNC:10953]
ENSG00000101255,TRIB3,57761,protein_coding,tribbles pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:16228]
ENSG00000101412,E2F1,1869,protein_coding,E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]
ENSG00000101447,FAM83D,81610,protein_coding,family with sequence similarity 83 member D [Source:HGNC Symbol;Acc:HGNC:16122]
ENSG00000102144,PGK1,5230,protein_coding,phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]
ENSG00000102384,CENPI,2491,protein_coding,centromere protein I [Source:HGNC Symbol;Acc:HGNC:3968]
ENSG00000102393,GLA,2717,protein_coding,galactosidase alpha [Source:HGNC Symbol;Acc:HGNC:4296]
ENSG00000103044,HAS3,3038,protein_coding,hyaluronan synthase 3 [Source:HGNC Symbol;Acc:HGNC:4820]
ENSG00000104147,OIP5,11339,protein_coding,Opa interacting protein 5 [Source:HGNC Symbol;Acc:HGNC:20300]
ENSG00000105011,ASF1B,55723,protein_coding,anti-silencing function 1B histone chaperone [Source:HGNC Symbol;Acc:HGNC:20996]
ENSG00000105220,GPI,2821,protein_coding,glucose-6-phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:4458]
ENSG00000105486,LIG1,3978,protein_coding,DNA ligase 1 [Source:HGNC Symbol;Acc:HGNC:6598]
ENSG00000106268,NUDT1,4521,protein_coding,nudix hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:8048]
ENSG00000106399,RPA3,6119,protein_coding,replication protein A3 [Source:HGNC Symbol;Acc:HGNC:10291]
ENSG00000107159,CA9,768,protein_coding,carbonic anhydrase 9 [Source:HGNC Symbol;Acc:HGNC:1383]
ENSG00000108106,UBE2S,27338,protein_coding,ubiquitin conjugating enzyme E2 S [Source:HGNC Symbol;Acc:HGNC:17895]
ENSG00000108852,MPP2,4355,protein_coding,MAGUK p55 scaffold protein 2 [Source:HGNC Symbol;Acc:HGNC:7220]
ENSG00000109674,NEIL3,55247,protein_coding,nei like DNA glycosylase 3 [Source:HGNC Symbol;Acc:HGNC:24573]
ENSG00000109805,NCAPG,64151,protein_coding,non-SMC condensin I complex subunit G [Source:HGNC Symbol;Acc:HGNC:24304]
