Ensembl_ID_CDDP,gene_biotype,external_gene_name,description
ENSG00000004961,HCCS,holocytochrome c synthase 
ENSG00000005486,RHBDD2,rhomboid domain containing 2 
ENSG00000006327,TNFRSF12A,TNF receptor superfamily member 12A 
ENSG00000009724,MASP2,MBL associated serine protease 2 
ENSG00000010319,SEMA3G,semaphorin 3G 
ENSG00000011052,NME1-NME2,NME1-NME2 readthrough 
ENSG00000013275,PSMC4,proteasome 26S subunit, ATPase 4 
ENSG00000020129,NCDN,neurochondrin 
ENSG00000042445,RETSAT,retinol saturase 
ENSG00000047634,SCML1,Scm polycomb group protein like 1 
ENSG00000053438,NNAT,neuronatin 
ENSG00000058729,RIOK2,RIO kinase 2 
ENSG00000059769,DNAJC25,DnaJ heat shock protein family (Hsp40) member C25 
ENSG00000067334,DNTTIP2,deoxynucleotidyltransferase terminal interacting protein 2 
ENSG00000068028,RASSF1,Ras association domain family member 1 
ENSG00000070404,FSTL3,follistatin like 3 
ENSG00000074582,BCS1L,BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone 
ENSG00000085465,OVGP1,oviductal glycoprotein 1 
ENSG00000087087,SRRT,serrate, RNA effector molecule 
ENSG00000099901,RANBP1,RAN binding protein 1 
ENSG00000100263,RHBDD3,rhomboid domain containing 3 
ENSG00000100462,PRMT5,protein arginine methyltransferase 5 
ENSG00000100664,EIF5,eukaryotic translation initiation factor 5 
ENSG00000101181,MTG2,mitochondrial ribosome associated GTPase 2 
ENSG00000101361,NOP56,NOP56 ribonucleoprotein 
ENSG00000101412,E2F1,E2F transcription factor 1 
ENSG00000101856,PGRMC1,progesterone receptor membrane component 1 
ENSG00000102393,GLA,galactosidase alpha 
ENSG00000104825,NFKBIB,NFKB inhibitor beta 
ENSG00000104899,AMH,anti-Mullerian hormone 
ENSG00000104907,TRMT1,tRNA methyltransferase 1 
ENSG00000106328,FSCN3,fascin actin-bundling protein 3 
ENSG00000106591,MRPL32,mitochondrial ribosomal protein L32 
ENSG00000108773,KAT2A,lysine acetyltransferase 2A 
ENSG00000109519,GRPEL1,GrpE like 1, mitochondrial 
ENSG00000110104,CCDC86,coiled-coil domain containing 86 
ENSG00000112599,GUCA1B,guanylate cyclase activator 1B 
ENSG00000113070,HBEGF,heparin binding EGF like growth factor 
