Ensembl_ID_ERLO,gene_biotype,external_gene_name,description
ENSG00000006118,TMEM132A,transmembrane protein 132A 
ENSG00000008517,IL32,interleukin 32 
ENSG00000019144,PHLDB1,pleckstrin homology like domain family B member 1 
ENSG00000033327,GAB2,GRB2 associated binding protein 2 
ENSG00000064205,CCN5,cellular communication network factor 5 
ENSG00000068615,REEP1,receptor accessory protein 1 
ENSG00000070404,FSTL3,follistatin like 3 
ENSG00000076706,MCAM,melanoma cell adhesion molecule 
ENSG00000088881,EBF4,EBF family member 4 
ENSG00000099889,ARVCF,ARVCF delta catenin family member 
ENSG00000099953,MMP11,matrix metallopeptidase 11 
ENSG00000100399,CHADL,chondroadherin like 5165
ENSG00000100767,PAPLN,papilin, proteoglycan like sulfated glycoprotein 
ENSG00000101335,MYL9,myosin light chain 9 
ENSG00000102109,PCSK1N,proprotein convertase subtilisin/kexin type 1 inhibitor 
ENSG00000103196,CRISPLD2,cysteine rich secretory protein LCCL domain containing 2 
ENSG00000107262,BAG1,BAG cochaperone 1 
ENSG00000107742,SPOCK2,SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2 
ENSG00000108691,CCL2,C-C motif chemokine ligand 2 
ENSG00000113070,HBEGF,heparin binding EGF like growth factor 
ENSG00000114631,PODXL2,podocalyxin like 2 
ENSG00000114923,SLC4A3,solute carrier family 4 member 3 
ENSG00000115129,TP53I3,tumor protein p53 inducible protein 3 
ENSG00000117480,FAAH,fatty acid amide hydrolase 
ENSG00000118508,RAB32,RAB32, member RAS oncogene family 
ENSG00000120055,C10orf95,chromosome 10 open reading frame 95 
ENSG00000121653,MAPK8IP1,mitogen-activated protein kinase 8 interacting protein 1 
ENSG00000124357,NAGK,N-acetylglucosamine kinase 
ENSG00000124467,PSG8,pregnancy specific beta-1-glycoprotein 8 
ENSG00000125966,MMP24,matrix metallopeptidase 24 
ENSG00000127084,FGD3,FYVE, RhoGEF and PH domain containing 3 
ENSG00000127129,EDN2,endothelin 2 
ENSG00000129038,LOXL1,lysyl oxidase like 1 
ENSG00000131668,BARX1,BARX homeobox 1 
ENSG00000135596,MICAL1,microtubule associated monooxygenase, calponin and LIM domain containing 1 
ENSG00000135924,DNAJB2,DnaJ heat shock protein family (Hsp40) member B2 
ENSG00000137801,THBS1,thrombospondin 1 
ENSG00000139998,RAB15,RAB15, member RAS oncogene family 
ENSG00000140931,CMTM3,CKLF like MARVEL transmembrane domain containing 3 
ENSG00000141497,ZMYND15,zinc finger MYND-type containing 15 
ENSG00000148677,ANKRD1,ankyrin repeat domain 1 
ENSG00000158292,GPR153,G protein-coupled receptor 153 
ENSG00000158828,PINK1,PTEN induced kinase 1 
ENSG00000160345,PIERCE1,piercer of microtubule wall 1 
ENSG00000160360,GPSM1,G protein signaling modulator 1 
ENSG00000161682,FAM171A2,family with sequence similarity 171 member A2 
ENSG00000161921,CXCL16,C-X-C motif chemokine ligand 16 
ENSG00000163040,CCDC74A,coiled-coil domain containing 74A 
ENSG00000163283,ALPP,alkaline phosphatase, placental 
ENSG00000163286,ALPG,alkaline phosphatase, germ cell 
ENSG00000163870,TPRA1,transmembrane protein adipocyte associated 1 
ENSG00000167535,CACNB3,calcium voltage-gated channel auxiliary subunit beta 3 
ENSG00000167552,TUBA1A,tubulin alpha 1a 
ENSG00000168899,VAMP5,vesicle associated membrane protein 5 
ENSG00000171992,SYNPO,synaptopodin 
ENSG00000183668,PSG9,pregnancy specific beta-1-glycoprotein 9 
ENSG00000187244,BCAM,basal cell adhesion molecule (Lutheran blood group) 
ENSG00000187796,CARD9,caspase recruitment domain family member 9 
ENSG00000187837,H1-2,H1.2 linker histone, cluster member 
ENSG00000198246,SLC29A3,solute carrier family 29 member 3 
ENSG00000204941,PSG5,pregnancy specific beta-1-glycoprotein 5 
ENSG00000213420,GPC2,glypican 2 
ENSG00000214548,MEG3,maternally expressed 3 
ENSG00000231187,SYT15-AS1,SYT15 antisense RNA 1 
ENSG00000231638,LUARIS upregulator of antiviral response interferon signaling 
ENSG00000233493,TMEM238,transmembrane protein 238 
ENSG00000255737,AGAP2-AS1,AGAP2 antisense RNA 1 
ENSG00000260604,,novel transcript
ENSG00000265666,RARA-AS1,RARA antisense RNA 1 
ENSG00000278709,NKILA,NF-kappaB interacting lncRNA 
ENSG00000280303,ERICD,E2F1-regulated inhibitor of cell death 
