ensembl_gene_id,external_gene_name,entrezgene_id,gene_biotype,description
ENSG00000006534,ALDH3B1,221,protein_coding,aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410]
ENSG00000021300,PLEKHB1,58473,protein_coding,pleckstrin homology domain containing B1 [Source:HGNC Symbol;Acc:HGNC:19079]
ENSG00000033327,GAB2,9846,protein_coding,GRB2 associated binding protein 2 [Source:HGNC Symbol;Acc:HGNC:14458]
ENSG00000041880,PARP3,10039,protein_coding,poly(ADP-ribose) polymerase family member 3 [Source:HGNC Symbol;Acc:HGNC:273]
ENSG00000053254,FOXN3,1112,protein_coding,forkhead box N3 [Source:HGNC Symbol;Acc:HGNC:1928]
ENSG00000054793,ATP9A,10079,protein_coding,ATPase phospholipid transporting 9A (putative) [Source:HGNC Symbol;Acc:HGNC:13540]
ENSG00000063438,AHRR,57491,protein_coding,aryl hydrocarbon receptor repressor [Source:HGNC Symbol;Acc:HGNC:346]
ENSG00000070731,ST6GALNAC2,10610,protein_coding,ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10867]
ENSG00000099953,MMP11,4320,protein_coding,matrix metallopeptidase 11 [Source:HGNC Symbol;Acc:HGNC:7157]
ENSG00000100439,ABHD4,63874,protein_coding,abhydrolase domain containing 4, N-acyl phospholipase B [Source:HGNC Symbol;Acc:HGNC:20154]
ENSG00000100767,PAPLN,89932,protein_coding,papilin, proteoglycan like sulfated glycoprotein [Source:HGNC Symbol;Acc:HGNC:19262]
ENSG00000102243,VGLL1,51442,protein_coding,vestigial like family member 1 [Source:HGNC Symbol;Acc:HGNC:20985]
ENSG00000104081,BMF,90427,protein_coding,Bcl2 modifying factor [Source:HGNC Symbol;Acc:HGNC:24132]
ENSG00000104237,RP1,6101,protein_coding,RP1 axonemal microtubule associated [Source:HGNC Symbol;Acc:HGNC:10263]
ENSG00000105339,DENND3,22898,protein_coding,DENN domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29134]
ENSG00000105499,PLA2G4C,8605,protein_coding,phospholipase A2 group IVC [Source:HGNC Symbol;Acc:HGNC:9037]
ENSG00000106560,GIMAP2,26157,protein_coding,GTPase, IMAP family member 2 [Source:HGNC Symbol;Acc:HGNC:21789]
